,Season 1992/1993,Season 1993/1994,Season 1994/1995,Season 1995/1996,Season 1996/1997,Season 1997/1998,Season 1998/1999,Season 1999/2000,Season 2000/2001,Season 2001/2002,Season 2002/2003,Season 2003/2004,Season 2004/2005,Season 2005/2006,Season 2006/2007,Season 2007/2008,Season 2008/2009,Season 2009/2010,Season 2010/2011,Season 2011/2012,Season 2012/2013,Season 2013/2014,Season 2014/2015,Season 2015/2016,Season 2016/2017,Season 2017/2018,Season 2018/2019,Season 2019/2020,Season 2020/2021,Season 2021/2022,Season 2022/2023
0,Manchester United,Manchester United,Blackburn Rovers,Manchester United,Manchester United,Arsenal FC,Manchester United,Manchester United,Manchester United,Arsenal FC,Manchester United,Arsenal FC,Chelsea FC,Chelsea FC,Manchester United,Manchester United,Manchester United,Chelsea FC,Manchester United,Manchester City,Manchester United,Manchester City,Chelsea FC,Leicester City,Chelsea FC,Manchester City,Manchester City,Liverpool FC,Manchester City,Manchester City,Manchester City
1,Aston Villa,Blackburn Rovers,Manchester United,Newcastle United,Newcastle United,Manchester United,Arsenal FC,Arsenal FC,Arsenal FC,Liverpool FC,Arsenal FC,Chelsea FC,Arsenal FC,Manchester United,Chelsea FC,Chelsea FC,Liverpool FC,Manchester United,Chelsea FC,Manchester United,Manchester City,Liverpool FC,Manchester City,Arsenal FC,Tottenham Hotspur,Manchester United,Liverpool FC,Manchester City,Manchester United,Liverpool FC,Arsenal FC
2,Norwich City,Newcastle United,Nottingham Forest,Liverpool FC,Arsenal FC,Liverpool FC,Chelsea FC,Leeds United,Liverpool FC,Manchester United,Newcastle United,Manchester United,Manchester United,Liverpool FC,Liverpool FC,Arsenal FC,Chelsea FC,Arsenal FC,Manchester City,Arsenal FC,Chelsea FC,Chelsea FC,Arsenal FC,Tottenham Hotspur,Manchester City,Tottenham Hotspur,Chelsea FC,Manchester United,Liverpool FC,Chelsea FC,Manchester United
3,Blackburn Rovers,Arsenal FC,Liverpool FC,Aston Villa,Liverpool FC,Chelsea FC,Leeds United,Liverpool FC,Leeds United,Newcastle United,Chelsea FC,Liverpool FC,Everton FC,Arsenal FC,Arsenal FC,Liverpool FC,Arsenal FC,Tottenham Hotspur,Arsenal FC,Tottenham Hotspur,Arsenal FC,Arsenal FC,Manchester United,Manchester City,Liverpool FC,Liverpool FC,Tottenham Hotspur,Chelsea FC,Chelsea FC,Tottenham Hotspur,Newcastle United
4,Queens Park Rangers,Leeds United,Leeds United,Arsenal FC,Aston Villa,Leeds United,West Ham United,Chelsea FC,Ipswich Town,Leeds United,Liverpool FC,Newcastle United,Liverpool FC,Tottenham Hotspur,Tottenham Hotspur,Everton FC,Everton FC,Manchester City,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Everton FC,Tottenham Hotspur,Manchester United,Arsenal FC,Chelsea FC,Arsenal FC,Leicester City,Leicester City,Arsenal FC,Liverpool FC
5,Liverpool FC,Wimbledon FC,Newcastle United,Everton FC,Chelsea FC,Blackburn Rovers,Aston Villa,Aston Villa,Chelsea FC,Chelsea FC,Blackburn Rovers,Aston Villa,Bolton Wanderers,Blackburn Rovers,Everton FC,Aston Villa,Aston Villa,Aston Villa,Liverpool FC,Chelsea FC,Everton FC,Tottenham Hotspur,Liverpool FC,Southampton FC,Manchester United,Arsenal FC,Manchester United,Tottenham Hotspur,West Ham United,Manchester United,Brighton & Hove Albion
6,Sheffield Wednesday,Sheffield Wednesday,Tottenham Hotspur,Blackburn Rovers,Sheffield Wednesday,Aston Villa,Liverpool FC,Sunderland AFC,Sunderland AFC,West Ham United,Everton FC,Charlton Athletic,Middlesbrough FC,Newcastle United,Bolton Wanderers,Blackburn Rovers,Fulham FC,Liverpool FC,Everton FC,Everton FC,Liverpool FC,Manchester United,Southampton FC,West Ham United,Everton FC,Burnley FC,Wolverhampton Wanderers,Wolverhampton Wanderers,Tottenham Hotspur,West Ham United,Aston Villa
7,Tottenham Hotspur,Liverpool FC,Queens Park Rangers,Tottenham Hotspur,Wimbledon FC,West Ham United,Derby County,Leicester City,Aston Villa,Aston Villa,Southampton FC,Bolton Wanderers,Manchester City,Bolton Wanderers,Reading FC,Portsmouth FC,Tottenham Hotspur,Everton FC,Fulham FC,Liverpool FC,West Bromwich Albion,Southampton FC,Swansea City,Liverpool FC,Southampton FC,Everton FC,Everton FC,Arsenal FC,Arsenal FC,Leicester City,Tottenham Hotspur
8,Manchester City,Queens Park Rangers,Wimbledon FC,Nottingham Forest,Leicester City,Derby County,Middlesbrough FC,West Ham United,Charlton Athletic,Tottenham Hotspur,Manchester City,Fulham FC,Tottenham Hotspur,West Ham United,Portsmouth FC,Manchester City,West Ham United,Birmingham City,Aston Villa,Fulham FC,Swansea City,Stoke City,Stoke City,Stoke City,AFC Bournemouth,Leicester City,Leicester City,Sheffield United,Leeds United,Brighton & Hove Albion,Brentford FC
9,Arsenal FC,Aston Villa,Southampton FC,West Ham United,Tottenham Hotspur,Leicester City,Leicester City,Tottenham Hotspur,Southampton FC,Blackburn Rovers,Tottenham Hotspur,Birmingham City,Aston Villa,Wigan Athletic,Blackburn Rovers,West Ham United,Manchester City,Blackburn Rovers,Sunderland AFC,West Bromwich Albion,West Ham United,Newcastle United,Crystal Palace,Chelsea FC,West Bromwich Albion,Newcastle United,West Ham United,Burnley FC,Everton FC,Wolverhampton Wanderers,Fulham FC
