,Season 1992/1993,Season 1993/1994,Season 1994/1995,Season 1995/1996,Season 1996/1997,Season 1997/1998,Season 1998/1999,Season 1999/2000,Season 2000/2001,Season 2001/2002,Season 2002/2003,Season 2003/2004,Season 2004/2005,Season 2005/2006,Season 2006/2007,Season 2007/2008,Season 2008/2009,Season 2009/2010,Season 2010/2011,Season 2011/2012,Season 2012/2013,Season 2013/2014,Season 2014/2015,Season 2015/2016,Season 2016/2017,Season 2017/2018,Season 2018/2019,Season 2019/2020,Season 2020/2021,Season 2021/2022,Season 2022/2023
0,Marseille,Paris Saint-Germain,Nantes,Auxerre,Monaco,Lens,Bordeaux,Monaco,Nantes,Lyon,Lyon,Lyon,Lyon,Lyon,Lyon,Lyon,Bordeaux,Marseille,Lille,Montpellier,Paris S-G,Paris S-G,Paris S-G,Paris S-G,Monaco,Paris S-G,Paris S-G,Paris S-G,Lille,Paris S-G,Paris S-G
1,Paris Saint-Germain,Marseille,Lyon,Paris S-G,Paris S-G,Metz,Marseille,Paris S-G,Lyon,Lens,Monaco,Paris S-G,Lille,Bordeaux,Marseille,Bordeaux,Marseille,Lyon,Marseille,Paris S-G,Marseille,Monaco,Lyon,Lyon,Paris S-G,Monaco,Lille,Marseille,Paris S-G,Marseille,Lens
2,Monaco,Auxerre,Paris Saint-Germain,Monaco,Nantes,Monaco,Lyon,Lyon,Lille,Auxerre,Marseille,Monaco,Monaco,Lille,Toulouse,Marseille,Lyon,Auxerre,Lyon,Lille,Lyon,Lille,Monaco,Monaco,Nice,Lyon,Lyon,Rennes,Monaco,Monaco,Marseille
3,Bordeaux,Bordeaux,Auxerre,Metz,Bordeaux,Marseille,Monaco,Bordeaux,Bordeaux,Paris S-G,Bordeaux,Auxerre,Rennes,Lens,Rennes,Nancy,Toulouse,Lille,Paris S-G,Lyon,Nice,Saint-Étienne,Marseille,Nice,Lyon,Marseille,Saint-Étienne,Lille,Lyon,Rennes,Rennes
4,Nantes,Nantes,Lens,Lens,Metz,Bordeaux,Rennes,Lens,Sedan,Lille,Sochaux,Sochaux,Marseille,Marseille,Lens,Saint-Étienne,Lille,Montpellier,Sochaux,Bordeaux,Saint-Étienne,Lyon,Saint-Étienne,Lille,Marseille,Rennes,Marseille,Nice,Marseille,Nice,Lille
5,Auxerre,Cannes,Monaco,Montpellier,Auxerre,Lyon,Lens,Saint-Étienne,Rennes,Bordeaux,Auxerre,Nantes,Saint-Étienne,Auxerre,Bordeaux,Rennes,Paris S-G,Bordeaux,Rennes,Rennes,Lille,Marseille,Bordeaux,Saint-Étienne,Bordeaux,Bordeaux,Montpellier,Reims,Rennes,Strasbourg,Monaco
6,Saint-Étienne,Montpellier,Bordeaux,Nantes,Bastia,Auxerre,Nantes,Sedan,Troyes,Troyes,Guingamp,Marseille,Lens,Rennes,Sochaux,Lille,Rennes,Lorient,Bordeaux,Saint-Étienne,Bordeaux,Bordeaux,Montpellier,Caen,Nantes,Saint-Étienne,Nice,Lyon,Lens,Lens,Lyon
7,Strasbourg,Lyon,Metz,Rennes,Lyon,Paris S-G,Montpellier,Auxerre,Bastia,Sochaux,Lens,Lens,Auxerre,Nice,Auxerre,Nice,Auxerre,Monaco,Toulouse,Toulouse,Lorient,Lorient,Lille,Rennes,Saint-Étienne,Nice,Reims,Montpellier,Montpellier,Lyon,Clermont Foot
8,Lens,Monaco,Cannes,Strasbourg,Strasbourg,Bastia,Paris S-G,Strasbourg,Paris S-G,Marseille,Nantes,Rennes,Paris S-G,Paris S-G,Monaco,Le Mans,Nice,Rennes,Auxerre,Evian,Montpellier,Toulouse,Rennes,Angers,Rennes,Nantes,Nîmes,Monaco,Nice,Nantes,Nice
9,Montpellier,Lens,Strasbourg,Guingamp,Montpellier,Le Havre,Metz,Bastia,Guingamp,Nantes,Nice,Lille,Sochaux,Monaco,Lille,Lorient,Lorient,Valenciennes,Saint-Étienne,Marseille,Toulouse,Bastia,Guingamp,Bastia,Guingamp,Montpellier,Rennes,Strasbourg,Metz,Lille,Lorient
10,Caen,Saint-Étienne,Martigues,Lyon,Marseille,Nantes,Nancy,Metz,Monaco,Bastia,Paris S-G,Nice,Strasbourg,Le Mans,Saint-Étienne,Caen,Monaco,Lens,Lorient,Nancy,Valenciennes,Reims,Nice,Bordeaux,Lille,Dijon,Strasbourg,Angers,Saint-Étienne,Brest,Reims
11,Metz,Metz,Le Havre,Nice,Guingamp,Montpellier,Strasbourg,Nantes,Metz,Rennes,Bastia,Bordeaux,Nice,Nancy,Le Mans,Monaco,Valenciennes,Nancy,Valenciennes,Valenciennes,Bastia,Rennes,Bastia,Montpellier,Angers,Guingamp,Nantes,Bordeaux,Bordeaux,Reims,Montpellier
12,Toulouse,Strasbourg,Rennes,Le Havre,Lens,Strasbourg,Bastia,Rennes,Auxerre,Montpellier,Strasbourg,Strasbourg,Toulouse,Saint-Étienne,Nancy,Valenciennes,Grenoble,Paris S-G,Nancy,Nice,Rennes,Nantes,Caen,Marseille,Toulouse,Amiens,Angers,Nantes,Angers,Montpellier,Toulouse
13,Lyon,Sochaux,Lille,Cannes,Le Havre,Rennes,Auxerre,Troyes,Lens,Sedan,Lille,Metz,Ajaccio,Nantes,Lorient,Sochaux,Sochaux,Toulouse,Montpellier,Sochaux,Reims,Evian,Nantes,Nantes,Metz,Angers,Bordeaux,Brest,Reims,Angers,Brest
14,Le Havre,Lille,Bastia,Bastia,Cannes,Toulouse,Le Havre,Marseille,Marseille,Monaco,Rennes,Ajaccio,Bordeaux,Sochaux,Paris S-G,Auxerre,Nancy,Nice,Caen,Brest,Sochaux,Montpellier,Reims,Lorient,Montpellier,Strasbourg,Amiens,Metz,Strasbourg,Troyes,Strasbourg
15,Sochaux,Caen,Nice,Bordeaux,Rennes,Guingamp,Lorient,Nancy,Toulouse,Guingamp,Montpellier,Toulouse,Metz,Toulouse,Nice,Paris S-G,Le Mans,Sochaux,Brest,Ajaccio,Evian,Guingamp,Lorient,Guingamp,Dijon,Caen,Toulouse,Dijon,Lorient,Lorient,Nantes
16,Lille,Le Havre,Montpellier,Lille,Caen,Châteauroux,Sochaux,Le Havre,Saint-Étienne,Metz,Ajaccio,Bastia,Nantes,Troyes,Valenciennes,Toulouse,Saint-Étienne,Saint-Étienne,Nice,Lorient,Ajaccio,Nice,Toulouse,Toulouse,Caen,Lille,Monaco,Saint-Étienne,Brest,Clermont Foot,Auxerre
17,Valenciennes,Martigues,Saint-Étienne,Gueugnon,Nancy,Cannes,Toulouse,Montpellier,Strasbourg,Lorient,Le Havre,Guingamp,Caen,Ajaccio,Troyes,Lens,Caen,Le Mans,Monaco,Caen,Nancy,Sochaux,Evian,Reims,Lorient,Toulouse,Dijon,Nîmes,Nantes,Saint-Étienne,Ajaccio
18,Toulon,Toulouse,Caen,Saint-Étienne,Lille,,,,,,Sedan,Le Mans,Bastia,Strasbourg,Sedan,Strasbourg,Nantes,Boulogne,Lens,Dijon,Troyes,Valenciennes,Metz,Gazélec Ajaccio,Nancy,Troyes,Caen,Amiens,Nîmes,Metz,Troyes
19,Nîmes,Angers,Sochaux,Martigues,Nice,,,,,,Troyes,Montpellier,Istres,Metz,Nantes,Metz,Le Havre,Grenoble,Arles-Avignon,Auxerre,Brest,Ajaccio,Lens,Troyes,Bastia,Metz,Guingamp,Toulouse,Dijon,Bordeaux,Angers
