,Season 1992/1993,Season 1993/1994,Season 1994/1995,Season 1995/1996,Season 1996/1997,Season 1997/1998,Season 1998/1999,Season 1999/2000,Season 2000/2001,Season 2001/2002,Season 2002/2003,Season 2003/2004,Season 2004/2005,Season 2005/2006,Season 2006/2007,Season 2007/2008,Season 2008/2009,Season 2009/2010,Season 2010/2011,Season 2011/2012,Season 2012/2013,Season 2013/2014,Season 2014/2015,Season 2015/2016,Season 2016/2017,Season 2017/2018,Season 2018/2019,Season 2019/2020,Season 2020/2021,Season 2021/2022,Season 2022/2023
0,SV Werder Bremen,Bayern Munich,Borussia Dortmund,Borussia Dortmund,Bayern Munich,1.FC Kaiserslautern,Bayern Munich,Bayern Munich,Bayern Munich,Borussia Dortmund,Bayern Munich,SV Werder Bremen,Bayern Munich,Bayern Munich,VfB Stuttgart,Bayern Munich,VfL Wolfsburg,Bayern Munich,Borussia Dortmund,Borussia Dortmund,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich,Bayern Munich
1,Bayern Munich,1.FC Kaiserslautern,SV Werder Bremen,Bayern Munich,Bayer 04 Leverkusen,Bayern Munich,Bayer 04 Leverkusen,Bayer 04 Leverkusen,FC Schalke 04,Bayer 04 Leverkusen,VfB Stuttgart,Bayern Munich,FC Schalke 04,SV Werder Bremen,FC Schalke 04,SV Werder Bremen,Bayern Munich,FC Schalke 04,Bayer 04 Leverkusen,Bayern Munich,Borussia Dortmund,Borussia Dortmund,VfL Wolfsburg,Borussia Dortmund,RB Leipzig,FC Schalke 04,Borussia Dortmund,Borussia Dortmund,RB Leipzig,Borussia Dortmund,Borussia Dortmund
2,Eintracht Frankfurt,Bayer 04 Leverkusen,SC Freiburg,FC Schalke 04,Borussia Dortmund,Bayer 04 Leverkusen,Hertha BSC,Hamburger SV,Borussia Dortmund,Bayern Munich,Borussia Dortmund,Bayer 04 Leverkusen,SV Werder Bremen,Hamburger SV,SV Werder Bremen,FC Schalke 04,VfB Stuttgart,SV Werder Bremen,Bayern Munich,FC Schalke 04,Bayer 04 Leverkusen,FC Schalke 04,Borussia Mönchengladbach,Bayer 04 Leverkusen,Borussia Dortmund,TSG 1899 Hoffenheim,RB Leipzig,RB Leipzig,Borussia Dortmund,Bayer 04 Leverkusen,RB Leipzig
3,Borussia Dortmund,Borussia Dortmund,1.FC Kaiserslautern,Borussia Mönchengladbach,VfB Stuttgart,VfB Stuttgart,Borussia Dortmund,TSV 1860 Munich,Bayer 04 Leverkusen,Hertha BSC,Hamburger SV,VfB Stuttgart,Hertha BSC,FC Schalke 04,Bayern Munich,Hamburger SV,Hertha BSC,Bayer 04 Leverkusen,Hannover 96,Borussia Mönchengladbach,FC Schalke 04,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Borussia Mönchengladbach,TSG 1899 Hoffenheim,Borussia Dortmund,Bayer 04 Leverkusen,Borussia Mönchengladbach,VfL Wolfsburg,RB Leipzig,1.FC Union Berlin
4,Bayer 04 Leverkusen,Eintracht Frankfurt,Borussia Mönchengladbach,Hamburger SV,VfL Bochum,FC Schalke 04,1.FC Kaiserslautern,1.FC Kaiserslautern,Hertha BSC,FC Schalke 04,Hertha BSC,VfL Bochum,VfB Stuttgart,Bayer 04 Leverkusen,Bayer 04 Leverkusen,VfL Wolfsburg,Hamburger SV,Borussia Dortmund,1.FSV Mainz 05,Bayer 04 Leverkusen,SC Freiburg,VfL Wolfsburg,FC Augsburg,FC Schalke 04,1. FC Köln,Bayer 04 Leverkusen,Borussia Mönchengladbach,Bayer 04 Leverkusen,Eintracht Frankfurt,1.FC Union Berlin,SC Freiburg
5,Karlsruher SC,Karlsruher SC,Bayern Munich,FC Hansa Rostock,Karlsruher SC,FC Hansa Rostock,VfL Wolfsburg,Hertha BSC,SC Freiburg,SV Werder Bremen,SV Werder Bremen,Borussia Dortmund,Bayer 04 Leverkusen,Hertha BSC,1.FC Nuremberg,VfB Stuttgart,Borussia Dortmund,VfB Stuttgart,1.FC Nuremberg,VfB Stuttgart,Eintracht Frankfurt,Borussia Mönchengladbach,FC Schalke 04,1.FSV Mainz 05,Hertha BSC,RB Leipzig,VfL Wolfsburg,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,SC Freiburg,Bayer 04 Leverkusen
6,VfB Stuttgart,VfB Stuttgart,Bayer 04 Leverkusen,Karlsruher SC,TSV 1860 Munich,SV Werder Bremen,Hamburger SV,VfL Wolfsburg,SV Werder Bremen,1.FC Kaiserslautern,FC Schalke 04,FC Schalke 04,Borussia Dortmund,Borussia Dortmund,Hamburger SV,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,Hamburger SV,1.FC Kaiserslautern,Hannover 96,Hamburger SV,1.FSV Mainz 05,Borussia Dortmund,Hertha BSC,SC Freiburg,VfB Stuttgart,Eintracht Frankfurt,VfL Wolfsburg,1.FC Union Berlin,1. FC Köln,Eintracht Frankfurt
7,1.FC Kaiserslautern,SV Werder Bremen,Karlsruher SC,TSV 1860 Munich,SV Werder Bremen,MSV Duisburg,MSV Duisburg,VfB Stuttgart,1.FC Kaiserslautern,VfB Stuttgart,VfL Wolfsburg,Hamburger SV,Hamburger SV,1.FC Nuremberg,VfL Bochum,Hannover 96,FC Schalke 04,VfL Wolfsburg,Hamburger SV,VfL Wolfsburg,Borussia Mönchengladbach,FC Augsburg,TSG 1899 Hoffenheim,VfL Wolfsburg,SV Werder Bremen,Eintracht Frankfurt,SV Werder Bremen,SC Freiburg,Borussia Mönchengladbach,1.FSV Mainz 05,VfL Wolfsburg
8,Borussia Mönchengladbach,MSV Duisburg,Eintracht Frankfurt,SV Werder Bremen,MSV Duisburg,Hamburger SV,TSV 1860 Munich,SV Werder Bremen,VfL Wolfsburg,TSV 1860 Munich,VfL Bochum,FC Hansa Rostock,VfL Wolfsburg,VfB Stuttgart,Borussia Dortmund,Eintracht Frankfurt,Bayer 04 Leverkusen,1.FSV Mainz 05,SC Freiburg,SV Werder Bremen,Hannover 96,TSG 1899 Hoffenheim,Eintracht Frankfurt,1. FC Köln,Borussia Mönchengladbach,Borussia Mönchengladbach,TSG 1899 Hoffenheim,Eintracht Frankfurt,VfB Stuttgart,TSG 1899 Hoffenheim,1.FSV Mainz 05
9,FC Schalke 04,Borussia Mönchengladbach,1. FC Köln,VfB Stuttgart,1. FC Köln,Borussia Dortmund,FC Schalke 04,SpVgg Unterhaching,1. FC Köln,VfL Wolfsburg,TSV 1860 Munich,VfL Wolfsburg,Hannover 96,Borussia Mönchengladbach,Hertha BSC,Hertha BSC,SV Werder Bremen,Eintracht Frankfurt,1. FC Köln,1.FC Nuremberg,1.FC Nuremberg,Hannover 96,SV Werder Bremen,Hamburger SV,FC Schalke 04,Hertha BSC,Fortuna Düsseldorf,Hertha BSC,SC Freiburg,Borussia Mönchengladbach,Borussia Mönchengladbach
