,Season 1992/1993,Season 1993/1994,Season 1994/1995,Season 1995/1996,Season 1996/1997,Season 1997/1998,Season 1998/1999,Season 1999/2000,Season 2000/2001,Season 2001/2002,Season 2002/2003,Season 2003/2004,Season 2004/2005,Season 2005/2006,Season 2006/2007,Season 2007/2008,Season 2008/2009,Season 2009/2010,Season 2010/2011,Season 2011/2012,Season 2012/2013,Season 2013/2014,Season 2014/2015,Season 2015/2016,Season 2016/2017,Season 2017/2018,Season 2018/2019,Season 2019/2020,Season 2020/2021,Season 2021/2022,Season 2022/2023
0,AC Milan,AC Milan,Juventus FC,AC Milan,Juventus FC,Juventus FC,AC Milan,SS Lazio,AS Roma,Juventus FC,Juventus FC,AC Milan,Juventus FC,Inter Milan,Inter Milan,Inter Milan,Inter Milan,Inter Milan,AC Milan,Juventus FC,Juventus FC,Juventus FC,Juventus FC,Juventus FC,Juventus FC,Juventus FC,Juventus FC,Juventus FC,Inter Milan,AC Milan,SSC Napoli
1,Inter Milan,Juventus FC,SS Lazio,Juventus FC,Parma FC,Inter Milan,SS Lazio,Juventus FC,Juventus FC,AS Roma,Inter Milan,AS Roma,AC Milan,AS Roma,AS Roma,AS Roma,Juventus FC,AS Roma,Inter Milan,AC Milan,SSC Napoli,AS Roma,AS Roma,SSC Napoli,AS Roma,SSC Napoli,SSC Napoli,Inter Milan,AC Milan,Inter Milan,SS Lazio
2,Parma FC,UC Sampdoria,Parma FC,SS Lazio,Inter Milan,Udinese Calcio,AC Fiorentina,AC Milan,SS Lazio,Inter Milan,AC Milan,Juventus FC,Inter Milan,AC Milan,SS Lazio,Juventus FC,AC Milan,AC Milan,SSC Napoli,Udinese Calcio,AC Milan,SSC Napoli,SS Lazio,AS Roma,SSC Napoli,AS Roma,Atalanta BC,Atalanta BC,Atalanta BC,SSC Napoli,Inter Milan
3,Juventus FC,SS Lazio,AC Milan,AC Fiorentina,SS Lazio,AS Roma,Parma FC,Inter Milan,Parma FC,AC Milan,SS Lazio,Inter Milan,Udinese Calcio,Chievo Verona,AC Milan,AC Fiorentina,AC Fiorentina,UC Sampdoria,Udinese Calcio,SS Lazio,AC Fiorentina,AC Fiorentina,AC Fiorentina,Inter Milan,Atalanta BC,Inter Milan,Inter Milan,SS Lazio,Juventus FC,Juventus FC,AC Milan
4,SS Lazio,Parma FC,AS Roma,AS Roma,Udinese Calcio,AC Fiorentina,AS Roma,Parma FC,Inter Milan,Chievo Verona,Parma FC,Parma FC,UC Sampdoria,US Palermo,US Palermo,AC Milan,Genoa 1893,US Palermo,SS Lazio,SSC Napoli,Udinese Calcio,Inter Milan,SSC Napoli,AC Fiorentina,SS Lazio,SS Lazio,AC Milan,AS Roma,SSC Napoli,SS Lazio,Atalanta BC
5,Cagliari Calcio,SSC Napoli,Inter Milan,Parma FC,UC Sampdoria,Parma FC,Udinese Calcio,AS Roma,AC Milan,SS Lazio,Udinese Calcio,SS Lazio,US Palermo,AS Livorno,AC Fiorentina,UC Sampdoria,AS Roma,SSC Napoli,AS Roma,Inter Milan,AS Roma,Parma FC,Genoa 1893,US Sassuolo,AC Milan,AC Milan,AS Roma,AC Milan,SS Lazio,AS Roma,AS Roma
6,UC Sampdoria,AS Roma,SSC Napoli,Inter Milan,Bologna FC 1909,SS Lazio,Juventus FC,AC Fiorentina,Atalanta BC,Bologna FC 1909,Chievo Verona,Udinese Calcio,FC Messina Peloro,Parma FC,FC Empoli,Udinese Calcio,Udinese Calcio,Juventus FC,Juventus FC,AS Roma,SS Lazio,Torino FC,UC Sampdoria,AC Milan,Inter Milan,Atalanta BC,Torino FC,SSC Napoli,AS Roma,AC Fiorentina,Juventus FC
7,Atalanta BC,Torino FC,UC Sampdoria,UC Sampdoria,Vicenza Calcio,Bologna FC 1909,Inter Milan,Udinese Calcio,Brescia Calcio,AC Perugia,AS Roma,UC Sampdoria,AS Roma,FC Empoli,Atalanta BC,SSC Napoli,US Palermo,Parma FC,US Palermo,Parma FC,Catania SSD,AC Milan,Inter Milan,SS Lazio,AC Fiorentina,AC Fiorentina,SS Lazio,US Sassuolo,US Sassuolo,Atalanta BC,AC Fiorentina
8,Torino FC,Foggia Calcio,Cagliari Calcio,Vicenza Calcio,AC Fiorentina,UC Sampdoria,Bologna FC 1909,Hellas Verona,AC Fiorentina,Atalanta BC,Brescia Calcio,Chievo Verona,AS Livorno,AC Fiorentina,UC Sampdoria,Atalanta BC,Cagliari Calcio,Genoa 1893,AC Fiorentina,Bologna FC 1909,Inter Milan,SS Lazio,Torino FC,Chievo Verona,Torino FC,Torino FC,UC Sampdoria,Hellas Verona,UC Sampdoria,Hellas Verona,Bologna FC 1909
9,AS Roma,US Cremonese,AC Fiorentina,Cagliari Calcio,Atalanta BC,AC Milan,AS Bari,AC Perugia,Bologna FC 1909,Parma FC,AC Perugia,US Lecce,Reggina Calcio,Ascoli Calcio 1898,Udinese Calcio,Genoa 1893,SS Lazio,AS Bari,Genoa 1893,Chievo Verona,Parma FC,Hellas Verona,AC Milan,FC Empoli,UC Sampdoria,UC Sampdoria,Bologna FC 1909,AC Fiorentina,Hellas Verona,Torino FC,Torino FC
