,Season 1992/1993,Season 1993/1994,Season 1994/1995,Season 1995/1996,Season 1996/1997,Season 1997/1998,Season 1998/1999,Season 1999/2000,Season 2000/2001,Season 2001/2002,Season 2002/2003,Season 2003/2004,Season 2004/2005,Season 2005/2006,Season 2006/2007,Season 2007/2008,Season 2008/2009,Season 2009/2010,Season 2010/2011,Season 2011/2012,Season 2012/2013,Season 2013/2014,Season 2014/2015,Season 2015/2016,Season 2016/2017,Season 2017/2018,Season 2018/2019,Season 2019/2020,Season 2020/2021,Season 2021/2022,Season 2022/2023
0,Feyenoord Rotterdam,Ajax Amsterdam,Ajax Amsterdam,Ajax Amsterdam,PSV Eindhoven,Ajax Amsterdam,Feyenoord Rotterdam,PSV Eindhoven,PSV Eindhoven,Ajax Amsterdam,PSV Eindhoven,Ajax Amsterdam,PSV Eindhoven,PSV Eindhoven,PSV Eindhoven,PSV Eindhoven,AZ Alkmaar,Twente Enschede FC,Ajax Amsterdam,Ajax Amsterdam,Ajax Amsterdam,Ajax Amsterdam,PSV Eindhoven,PSV Eindhoven,Feyenoord Rotterdam,PSV Eindhoven,Ajax Amsterdam,Ajax Amsterdam,Ajax Amsterdam,Ajax Amsterdam,Feyenoord Rotterdam
1,PSV Eindhoven,Feyenoord Rotterdam,Roda JC Kerkrade,PSV Eindhoven,Feyenoord Rotterdam,PSV Eindhoven,Willem II Tilburg,SC Heerenveen,Feyenoord Rotterdam,PSV Eindhoven,Ajax Amsterdam,PSV Eindhoven,Ajax Amsterdam,AZ Alkmaar,Ajax Amsterdam,Ajax Amsterdam,Twente Enschede FC,Ajax Amsterdam,Twente Enschede FC,Feyenoord Rotterdam,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Ajax Amsterdam,Ajax Amsterdam,Ajax Amsterdam,PSV Eindhoven,AZ Alkmaar,PSV Eindhoven,PSV Eindhoven,PSV Eindhoven
2,Ajax Amsterdam,PSV Eindhoven,PSV Eindhoven,Feyenoord Rotterdam,Twente Enschede FC,Vitesse Arnhem,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Feyenoord Rotterdam,Feyenoord Rotterdam,Feyenoord Rotterdam,AZ Alkmaar,Feyenoord Rotterdam,AZ Alkmaar,NAC Breda,Ajax Amsterdam,PSV Eindhoven,PSV Eindhoven,PSV Eindhoven,Feyenoord Rotterdam,Twente Enschede FC,AZ Alkmaar,Feyenoord Rotterdam,PSV Eindhoven,AZ Alkmaar,Feyenoord Rotterdam,Feyenoord Rotterdam,AZ Alkmaar,Feyenoord Rotterdam,Ajax Amsterdam
3,Vitesse Arnhem,Vitesse Arnhem,Feyenoord Rotterdam,Roda JC Kerkrade,Ajax Amsterdam,Feyenoord Rotterdam,Vitesse Arnhem,Vitesse Arnhem,Roda JC Kerkrade,SC Heerenveen,NAC Breda,SC Heerenveen,Feyenoord Rotterdam,Ajax Amsterdam,Twente Enschede FC,Twente Enschede FC,PSV Eindhoven,Feyenoord Rotterdam,AZ Alkmaar,AZ Alkmaar,Vitesse Arnhem,PSV Eindhoven,Feyenoord Rotterdam,AZ Alkmaar,FC Utrecht,Feyenoord Rotterdam,AZ Alkmaar,PSV Eindhoven,Vitesse Arnhem,Twente Enschede FC,AZ Alkmaar
4,Twente Enschede FC,Twente Enschede FC,Twente Enschede FC,Vitesse Arnhem,Vitesse Arnhem,Willem II Tilburg,Roda JC Kerkrade,Ajax Amsterdam,FC Utrecht,Vitesse Arnhem,NEC Nijmegen,AZ Alkmaar,SC Heerenveen,FC Groningen,SC Heerenveen,SC Heerenveen,SC Heerenveen,AZ Alkmaar,FC Groningen,SC Heerenveen,FC Utrecht,SC Heerenveen,Vitesse Arnhem,FC Utrecht,Vitesse Arnhem,FC Utrecht,Vitesse Arnhem,Willem II Tilburg,Feyenoord Rotterdam,AZ Alkmaar,Twente Enschede FC
5,FC Volendam,Roda JC Kerkrade,Vitesse Arnhem,Spartak Moscow,Roda JC Kerkrade,SC Heerenveen,Ajax Amsterdam,Twente Enschede FC,Vitesse Arnhem,NAC Breda,Roda JC Kerkrade,Roda JC Kerkrade,Twente Enschede FC,FC Utrecht,Roda JC Kerkrade,Feyenoord Rotterdam,FC Groningen,Heracles Almelo,Roda JC Kerkrade,Twente Enschede FC,Twente Enschede FC,Vitesse Arnhem,PEC Zwolle,Heracles Almelo,AZ Alkmaar,Vitesse Arnhem,FC Utrecht,FC Utrecht,FC Utrecht,Vitesse Arnhem,Sparta Rotterdam
6,MVV Maastricht,NAC Breda,Willem II Tilburg,SC Heerenveen,SC Heerenveen,Fortuna Sittard,SC Heerenveen,AZ Alkmaar,RKC Waalwijk,FC Utrecht,SC Heerenveen,Willem II Tilburg,Vitesse Arnhem,SC Heerenveen,Feyenoord Rotterdam,FC Groningen,Feyenoord Rotterdam,FC Utrecht,ADO Den Haag,Vitesse Arnhem,FC Groningen,FC Groningen,SC Heerenveen,FC Groningen,Twente Enschede FC,ADO Den Haag,Heracles Almelo,Vitesse Arnhem,FC Groningen,FC Utrecht,FC Utrecht
7,FC Utrecht,Willem II Tilburg,RKC Waalwijk,NAC Breda,De Graafschap Doetinchem,NEC Nijmegen,Twente Enschede FC,Roda JC Kerkrade,Willem II Tilburg,RKC Waalwijk,FC Utrecht,Twente Enschede FC,Roda JC Kerkrade,Roda JC Kerkrade,FC Groningen,NEC Nijmegen,NAC Breda,FC Groningen,Heracles Almelo,NEC Nijmegen,SC Heerenveen,AZ Alkmaar,FC Groningen,PEC Zwolle,FC Groningen,SC Heerenveen,FC Groningen,Heracles Almelo,Sparta Rotterdam,SC Heerenveen,SC Heerenveen
8,RKC Waalwijk,Spartak Moscow,SC Heerenveen,FC Groningen,NAC Breda,Twente Enschede FC,AZ Alkmaar,Willem II Tilburg,NAC Breda,NEC Nijmegen,RKC Waalwijk,NAC Breda,RKC Waalwijk,Twente Enschede FC,FC Utrecht,Roda JC Kerkrade,FC Utrecht,Roda JC Kerkrade,FC Utrecht,RKC Waalwijk,ADO Den Haag,ADO Den Haag,Willem II Tilburg,Vitesse Arnhem,SC Heerenveen,PEC Zwolle,ADO Den Haag,FC Groningen,Heracles Almelo,SC Cambuur-Leeuwarden,RKC Waalwijk
9,Willem II Tilburg,MVV Maastricht,NAC Breda,Twente Enschede FC,FC Groningen,FC Utrecht,Fortuna Sittard,FC Utrecht,SC Heerenveen,AZ Alkmaar,AZ Alkmaar,FC Utrecht,Willem II Tilburg,NEC Nijmegen,NEC Nijmegen,FC Utrecht,Vitesse Arnhem,NAC Breda,Feyenoord Rotterdam,Roda JC Kerkrade,AZ Alkmaar,FC Utrecht,Twente Enschede FC,NEC Nijmegen,Heracles Almelo,Heracles Almelo,Willem II Tilburg,SC Heerenveen,Twente Enschede FC,RKC Waalwijk,Vitesse Arnhem
