,Season 1992/1993,Season 1993/1994,Season 1994/1995,Season 1995/1996,Season 1996/1997,Season 1997/1998,Season 1998/1999,Season 1999/2000,Season 2000/2001,Season 2001/2002,Season 2002/2003,Season 2003/2004,Season 2004/2005,Season 2005/2006,Season 2006/2007,Season 2007/2008,Season 2008/2009,Season 2009/2010,Season 2010/2011,Season 2011/2012,Season 2012/2013,Season 2013/2014,Season 2014/2015,Season 2015/2016,Season 2016/2017,Season 2017/2018,Season 2018/2019,Season 2019/2020,Season 2020/2021,Season 2021/2022,Season 2022/2023
0,Porto,Benfica,Porto,Porto,Porto,Porto,Porto,Sporting CP,Boavista,Sporting CP,Porto,Porto,Benfica,Porto,Porto,Porto,Porto,Benfica,Porto,Porto,Porto,Benfica,Benfica,Benfica,Benfica,Porto,Benfica,Porto,Sporting CP,Porto,Benfica
1,Benfica,Porto,Sporting CP,Benfica,Sporting CP,Benfica,Boavista,Porto,Porto,Boavista,Benfica,Benfica,Porto,Sporting CP,Sporting CP,Sporting CP,Sporting CP,Braga,Benfica,Benfica,Benfica,Sporting CP,Porto,Sporting CP,Porto,Benfica,Porto,Benfica,Porto,Sporting CP,Porto
2,Sporting CP,Sporting CP,Benfica,Sporting CP,Benfica,Vitória de Guimarães,Benfica,Benfica,Sporting CP,Porto,Sporting CP,Sporting CP,Sporting CP,Benfica,Benfica,Vitória,Benfica,Porto,Sporting CP,Braga,Paços,Porto,Sporting CP,Porto,Sporting CP,Sporting CP,Sporting CP,Braga,Benfica,Benfica,Braga
3,Boavista,Boavista,Vitória de Guimarães,Boavista,Braga,Sporting CP,Sporting CP,Boavista,Braga,Benfica,Vitória,Nacional,Braga,Braga,Braga,Benfica,Nacional,Sporting CP,Braga,Sporting CP,Braga,Estoril,Braga,Braga,Vitória,Braga,Braga,Sporting CP,Braga,Braga,Sporting CP
4,Marítimo,Marítimo,Farense,Vitória de Guimarães,Vitória de Guimarães,Marítimo,Vitória de Setúbal,Gil Vicente,União de Leiria,Belenenses,União de Leiria,Braga,Vitória,Nacional,Belenenses,Marítimo,Braga,Marítimo,Vitória,Marítimo,Estoril,Nacional,Vitória,Arouca,Braga,Rio Ave,Vitória,Rio Ave,Paços,Gil Vicente FC,Arouca
5,Farense,Vitória de Setúbal,União de Leiria,Belenenses,Salgueiros,Boavista,União de Leiria,Marítimo,Benfica,Marítimo,Paços,Marítimo,Boavista,Boavista,Paços,Vitória Setúbal,Leixões,Vitória,Nacional,Vitória,Rio Ave,Marítimo,Belenenses,Rio Ave,Marítimo,Chaves,Moreirense,Famalicão,Santa Clara,Vitória,Vitória
6,Belenenses,Vitória de Guimarães,Marítimo,União de Leiria,Boavista,Estrela da Amadora,Vitória de Guimarães,Vitória de Guimarães,Belenenses,União de Leiria,Marítimo,Rio Ave,Marítimo,União de Leiria,União de Leiria,Braga,Académica,Nacional,Paços,Nacional,Sporting CP,Vitória Setúbal,Nacional,Paços,Rio Ave,Marítimo,Rio Ave,Vitória,Vitória,Santa Clara,Chaves
7,Beira-Mar,Farense,Tirsense,Braga,Marítimo,Salgueiros,Estrela da Amadora,Estrela da Amadora,Beira-Mar,Paços de Ferreira,Gil Vicente,Boavista,Rio Ave,Vitória Setúbal,Nacional,Belenenses,Vitória,Naval,Rio Ave,Olhanense,Nacional,Académica,Paços,Estoril,Feirense,Boavista,Boavista,Moreirense,Moreirense,Famalicão,Famalicão
8,Gil Vicente,Estrela da Amadora,Boavista,Marítimo,Estrela da Amadora,Rio Ave,Braga,Braga,Paços de Ferreira,Vitória Guimarães,Belenenses,Moreirense,Belenenses,Estrela,Estrela,Boavista,Marítimo,União de Leiria,Marítimo,Gil Vicente,Vitória,Braga,Marítimo,Belenenses,Boavista,Vitória,B-SAD,Santa Clara,Famalicão,Estoril,Boavista
9,Paços de Ferreira,Gil Vicente,Braga,Farense,Chaves,Braga,Marítimo,Leiria,SC Salgueiros,Braga,Boavista,União de Leiria,Vitória Setúbal,Marítimo,Boavista,Nacional,Paços,Paços,União de Leiria,Paços,Marítimo,Vitória,Rio Ave,Vitória,Estoril,Portimonense,Santa Clara,Gil Vicente FC,B-SAD,Marítimo,Casa Pia
10,Vitória de Guimarães,Salgueiros,Salgueiros,Gil Vicente,Farense,Campomaiorense,Farense,Alverca,Marítimo,Beira-Mar,Nacional,Beira-Mar,Penafiel,Paços,Marítimo,Naval,Estrela,Académica,Olhanense,Vitória Setúbal,Académica,Rio Ave,Moreirense,Nacional,Chaves,Tondela,Marítimo,Marítimo,Gil Vicente FC,Paços,Vizela
11,Braga,União da Madeira,Belenenses,Salgueiros,Vitória de Setúbal,Leça,Salgueiros,Belenenses,Alverca,Gil Vicente,Moreirense,Gil Vicente,Nacional,Gil Vicente,Naval,Académica,Rio Ave,Rio Ave,Vitória Setúbal,Beira-Mar,Vitória Setúbal,Arouca,Estoril,Moreirense,Vitória Setúbal,Belenenses,Portimonense,Boavista,Tondela,Boavista,Rio Ave
12,Estoril,Belenenses,Gil Vicente,Estrela da Amadora,Belenenses,Vitória de Setúbal,Campomaiorense,Campomaiorense,Farense,Vitória Setúbal,Beira-Mar,Académica,Gil Vicente,Académica,Académica,Estrela,Naval,Olhanense,Beira-Mar,Académica,Gil Vicente,Gil Vicente,Boavista,Marítimo,Paços,Aves,Vitória Setúbal,Paços,Boavista,Portimonense,Gil Vicente FC
13,Famalicão,Beira-Mar,Chaves,Leça,Leça,Farense,Alverca,Farense,Gil Vicente,Santa Clara,Braga,Vitória,Académica,Naval,Vitória Setúbal,Leixões,Vitória Setúbal,Vitória Setúbal,Académica,Rio Ave,Olhanense,Belenenses,Vitória Setúbal,Boavista,Belenenses,Vitória Setúbal,Aves,Tondela,Portimonense,Vizela,Estoril
14,Salgueiros,Braga,Estrela da Amadora,Chaves,Rio Ave,Académica,Rio Ave,Salgueiros,Vitória Guimarães,Varzim,Académica,Belenenses,União de Leiria,Belenenses,Beira-Mar,Paços,Belenenses,Belenenses,Portimonense,Feirense,Moreirense,Paços,Académica,Vitória Setúbal,Moreirense,Moreirense,Tondela,B-SAD,Marítimo,Arouca,Portimonense
15,Tirsense,Paços de Ferreira,União da Madeira,Felgueiras,Espinho,Chaves,Beira-Mar,Vitória de Setúbal,SC Campomaiorense,SC Salgueiros,Varzim,Alverca,Moreirense,Rio Ave,Aves,União de Leiria,Trofense,Leixões,Naval,União de Leiria,Beira-Mar,Olhanense,Arouca,Tondela,Tondela,Feirense,Chaves,Vitória Setúbal,Rio Ave,Moreirense,Marítimo
16,Espinho,Famalicão,Beira-Mar,Campomaiorense,União de Leiria,Varzim,Chaves,Rio Ave,Aves,Farense,Santa Clara,Paços,Estoril,Vitória,,,,,,,,,Gil Vicente,União,Arouca,Paços,Nacional,Portimonense,Farense,Tondela,Paços
17,Chaves,Estoril,Vitória de Setúbal,Tirsense,Gil Vicente,Belenenses,Académica,Santa Clara,Estrela,Alverca,Vitória Setúbal,Estrela,Beira-Mar,Penafiel,,,,,,,,,Penafiel,Académica,Nacional,Estoril,Feirense,Aves,Nacional,B-SAD,Santa Clara
