,Season 1993/1994,Season 1994/1995,Season 1995/1996,Season 1996/1997,Season 1997/1998,Season 1998/1999,Season 1999/2000,Season 2000/2001,Season 2001/2002,Season 2002/2003,Season 2003/2004,Season 2004/2005,Season 2005/2006,Season 2006/2007,Season 2007/2008,Season 2008/2009,Season 2009/2010,Season 2010/2011,Season 2011/2012,Season 2012/2013,Season 2013/2014,Season 2014/2015,Season 2015/2016,Season 2016/2017,Season 2017/2018,Season 2018/2019,Season 2019/2020,Season 2020/2021,Season 2021/2022,Season 2022/2023
0,Spartak Moscow,Spartak Moscow,Alania Vladikavkaz,Spartak Moscow,Spartak Moscow,Spartak Moscow,Spartak Moscow,Spartak Moscow,Spartak Moscow,CSKA Moscow,CSKA Moscow,Lokomotiv Moscow,CSKA Moscow,CSKA Moscow,Zenit St. Petersburg,Rubin Kazan,Rubin Kazan,Zenit St. Petersburg,Zenit St. Petersburg,CSKA Moscow,CSKA Moscow,Zenit St. Petersburg,CSKA Moscow,Spartak Moscow,Lokomotiv Moscow,Zenit St. Petersburg,Zenit St. Petersburg,Zenit St. Petersburg,Zenit St. Petersburg,Zenit St. Petersburg
1,Rotor Volgograd,Dinamo Moscow,Lokomotiv Moscow,Alania Vladikavkaz,Rotor Volgograd,CSKA Moscow,Lokomotiv Moscow,Lokomotiv Moscow,Lokomotiv Moscow,Lokomotiv Moscow,Zenit St. Petersburg,CSKA Moscow,Spartak Moscow,Spartak Moscow,Spartak Moscow,CSKA Moscow,Spartak Moscow,CSKA Moscow,CSKA Moscow,Zenit St. Petersburg,Zenit St. Petersburg,CSKA Moscow,FK Rostov,CSKA Moscow,CSKA Moscow,Lokomotiv Moscow,Lokomotiv Moscow,Spartak Moscow,FC Sochi,CSKA Moscow
2,Dinamo Moscow,Lokomotiv Moscow,Spartak Moscow,Rotor Volgograd,Dinamo Moscow,Lokomotiv Moscow,CSKA Moscow,Torpedo Moscow,Zenit St. Petersburg,Spartak Moscow,Rubin Kazan,Krylya Sovetov Samara,Lokomotiv Moscow,Lokomotiv Moscow,CSKA Moscow,Dinamo Moscow,Zenit St. Petersburg,Rubin Kazan,Dinamo Moscow,Anzhi Makhachkala,Lokomotiv Moscow,FK Krasnodar,Zenit St. Petersburg,Zenit St. Petersburg,Spartak Moscow,FK Krasnodar,FK Krasnodar,Lokomotiv Moscow,Dinamo Moscow,Spartak Moscow
3,Tekstilshchik Kamyshin,Rotor Volgograd,Dinamo Moscow,Dinamo Moscow,Shinnik Yaroslavl,Rotor Volgograd,Torpedo Moscow,Anzhi Makhachkala,Torpedo Moscow,Torpedo Moscow,Lokomotiv Moscow,Zenit St. Petersburg,Rubin Kazan,Zenit St. Petersburg,FC Moscow,Amkar Perm,Lokomotiv Moscow,Spartak Moscow,Spartak Moscow,Spartak Moscow,Dinamo Moscow,Dinamo Moscow,FK Krasnodar,FK Krasnodar,FK Krasnodar,CSKA Moscow,CSKA Moscow,Rubin Kazan,FK Krasnodar,FK Rostov
4,Lokomotiv Moscow,Alania Vladikavkaz,Torpedo Moscow,CSKA Moscow,Lokomotiv Moscow,Zenit St. Petersburg,Dinamo Moscow,Dinamo Moscow,Krylya Sovetov Samara,Krylya Sovetov Samara,Shinnik Yaroslavl,Torpedo Moscow,FC Moscow,Rubin Kazan,Saturn Ramenskoe,Zenit St. Petersburg,CSKA Moscow,Lokomotiv Moscow,Lokomotiv Moscow,Kuban Krasnodar,FK Krasnodar,Rubin Kazan,Spartak Moscow,Terek Grozny,Zenit St. Petersburg,Spartak Moscow,FK Rostov,FC Sochi,CSKA Moscow,Akhmat Grozny
5,Alania Vladikavkaz,КАМАЗ-Чаллы Набережные Челны,CSKA Moscow,Lokomotiv Moscow,Chernomorets Novorossijsk,Rostselmash Rostov,Alania Vladikavkaz,Chernomorets Novorossijsk,Saturn Ramenskoe,Shinnik Yaroslavl,Dinamo Moscow,Shinnik Yaroslavl,Zenit St. Petersburg,FC Moscow,Dinamo Moscow,Krylya Sovetov Samara,FC Moscow,Spartak Nalchik,Kuban Krasnodar,Rubin Kazan,Spartak Moscow,Spartak Moscow,Lokomotiv Moscow,FK Rostov,FK Ufa,Arsenal Tula,Dinamo Moscow,CSKA Moscow,Lokomotiv Moscow,FK Krasnodar
6,Torpedo Moscow,Tekstilshchik Kamyshin,Rotor Volgograd,Baltika Kaliningrad,Krylya Sovetov Samara,ФК Элиста,Rostselmash Rostov,Zenit St. Petersburg,CSKA Moscow,Saturn Ramenskoe,Saturn Ramenskoe,Saturn Ramenskoe,Torpedo Moscow,Luch Vladivostok,Lokomotiv Moscow,Lokomotiv Moscow,Saturn Ramenskoe,Dinamo Moscow,Rubin Kazan,Dinamo Moscow,FK Rostov,Lokomotiv Moscow,Terek Grozny,FK Ufa,Arsenal Tula,FK Orenburg,Spartak Moscow,Dinamo Moscow,Akhmat Grozny,FK Orenburg
7,Uralmash Ekaterinburg,Lokomotiv Nizhniy Novgorod,Uralmash Ekaterinburg,Lokomotiv Nizhniy Novgorod,Zenit St. Petersburg,Alania Vladikavkaz,Zenit St. Petersburg,CSKA Moscow,Sokol Saratov,Dinamo Moscow,Torpedo Moscow,Spartak Moscow,Dinamo Moscow,Tom Tomsk,Amkar Perm,Spartak Moscow,Dinamo Moscow,Tom Tomsk,Anzhi Makhachkala,Terek Grozny,Kuban Krasnodar,Mordovia Saransk,Ural Yekaterinburg,Lokomotiv Moscow,Dinamo Moscow,Akhmat Grozny,Arsenal Tula,FK Khimki,Krylya Sovetov Samara,Lokomotiv Moscow
8,КАМАЗ-Чаллы Набережные Челны,Zhemchuzhina Sochi,КАМАЗ-Чаллы Набережные Челны,Krylya Sovetov Samara,Baltika Kaliningrad,Dinamo Moscow,ФК Элиста,Saturn Ramenskoe,Dinamo Moscow,Rotor Volgograd,Krylya Sovetov Samara,FC Moscow,Shinnik Yaroslavl,Spartak Nalchik,FK Khimki,FC Moscow,Tom Tomsk,FK Rostov,FK Krasnodar,Lokomotiv Moscow,Rubin Kazan,Terek Grozny,Krylya Sovetov Samara,Rubin Kazan,Akhmat Grozny,FK Rostov,FK Ufa,FK Rostov,FK Rostov,Dinamo Moscow
9,CSKA Moscow,CSKA Moscow,Tekstilshchik Kamyshin,Zenit St. Petersburg,Alania Vladikavkaz,Chernomorets Novorossijsk,Saturn Ramenskoe,Alania Vladikavkaz,Rotor Volgograd,Zenit St. Petersburg,Spartak Moscow,Rubin Kazan,Tom Tomsk,Krylya Sovetov Samara,Rubin Kazan,Terek Grozny,Krylya Sovetov Samara,Saturn Ramenskoe,FK Rostov,FK Krasnodar,Amkar Perm,Kuban Krasnodar,Rubin Kazan,Amkar Perm,Rubin Kazan,Ural Yekaterinburg,Rubin Kazan,FK Krasnodar,Spartak Moscow,FC Sochi
