,Season 1992/1993,Season 1993/1994,Season 1994/1995,Season 1995/1996,Season 1996/1997,Season 1997/1998,Season 1998/1999,Season 1999/2000,Season 2000/2001,Season 2001/2002,Season 2002/2003,Season 2003/2004,Season 2004/2005,Season 2005/2006,Season 2006/2007,Season 2007/2008,Season 2008/2009,Season 2009/2010,Season 2010/2011,Season 2011/2012,Season 2012/2013,Season 2013/2014,Season 2014/2015,Season 2015/2016,Season 2016/2017,Season 2017/2018,Season 2018/2019,Season 2019/2020,Season 2020/2021,Season 2021/2022,Season 2022/2023
0,FC Barcelona,FC Barcelona,Real Madrid,Atlético de Madrid,Real Madrid,FC Barcelona,FC Barcelona,Deportivo de La Coruña,Real Madrid,Valencia CF,Real Madrid,Valencia CF,FC Barcelona,FC Barcelona,Real Madrid,Real Madrid,FC Barcelona,FC Barcelona,FC Barcelona,Real Madrid,FC Barcelona,Atlético de Madrid,FC Barcelona,FC Barcelona,Real Madrid,FC Barcelona,FC Barcelona,Real Madrid,Atlético de Madrid,Real Madrid,FC Barcelona
1,Real Madrid,Deportivo de La Coruña,Deportivo de La Coruña,Valencia CF,FC Barcelona,Athletic Bilbao,Real Madrid,FC Barcelona,Deportivo de La Coruña,Deportivo de La Coruña,Real Sociedad,FC Barcelona,Real Madrid,Real Madrid,FC Barcelona,Villarreal CF,Real Madrid,Real Madrid,Real Madrid,FC Barcelona,Real Madrid,FC Barcelona,Real Madrid,Real Madrid,FC Barcelona,Atlético de Madrid,Atlético de Madrid,FC Barcelona,Real Madrid,FC Barcelona,Real Madrid
2,Deportivo de La Coruña,Real Zaragoza,Real Betis Balompié,FC Barcelona,Deportivo de La Coruña,Real Sociedad,RCD Mallorca,Valencia CF,RCD Mallorca,Real Madrid,Deportivo de La Coruña,Deportivo de La Coruña,Villarreal CF,Valencia CF,Sevilla FC,FC Barcelona,Sevilla FC,Valencia CF,Valencia CF,Valencia CF,Atlético de Madrid,Real Madrid,Atlético de Madrid,Atlético de Madrid,Atlético de Madrid,Real Madrid,Real Madrid,Atlético de Madrid,FC Barcelona,Atlético de Madrid,Atlético de Madrid
3,Valencia CF,Real Madrid,FC Barcelona,RCD Espanyol Barcelona,Real Betis Balompié,Real Madrid,Valencia CF,Real Zaragoza,FC Barcelona,FC Barcelona,Celta de Vigo,Real Madrid,Real Betis Balompié,CA Osasuna,Valencia CF,Atlético de Madrid,Atlético de Madrid,Sevilla FC,Villarreal CF,Málaga CF,Real Sociedad,Athletic Bilbao,Valencia CF,Villarreal CF,Sevilla FC,Valencia CF,Valencia CF,Sevilla FC,Sevilla FC,Sevilla FC,Real Sociedad
4,CD Tenerife,Athletic Bilbao,Sevilla FC,CD Tenerife,Atlético de Madrid,RCD Mallorca,Celta de Vigo,Real Madrid,Valencia CF,Celta de Vigo,Valencia CF,Athletic Bilbao,RCD Espanyol Barcelona,Sevilla FC,Villarreal CF,Sevilla FC,Villarreal CF,RCD Mallorca,Sevilla FC,Atlético de Madrid,Valencia CF,Sevilla FC,Sevilla FC,Athletic Bilbao,Villarreal CF,Villarreal CF,Getafe CF,Villarreal CF,Real Sociedad,Real Betis Balompié,Villarreal CF
5,Atlético de Madrid,Sevilla FC,RCD Espanyol Barcelona,Real Madrid,Athletic Bilbao,Celta de Vigo,Deportivo de La Coruña,Deportivo Alavés,Celta de Vigo,Real Betis Balompié,FC Barcelona,Sevilla FC,Sevilla FC,Celta de Vigo,Real Zaragoza,Racing Santander,Valencia CF,Getafe CF,Athletic Bilbao,Levante UD,Málaga CF,Villarreal CF,Villarreal CF,Celta de Vigo,Real Sociedad,Real Betis Balompié,Sevilla FC,Real Sociedad,Real Betis Balompié,Real Sociedad,Real Betis Balompié
6,Sevilla FC,Valencia CF,Real Zaragoza,Real Sociedad,Real Valladolid CF,Atlético de Madrid,RCD Espanyol Barcelona,Celta de Vigo,Villarreal CF,Deportivo Alavés,Athletic Bilbao,Atlético de Madrid,Valencia CF,Villarreal CF,Atlético de Madrid,RCD Mallorca,Deportivo de La Coruña,Villarreal CF,Atlético de Madrid,CA Osasuna,Real Betis Balompié,Real Sociedad,Athletic Bilbao,Sevilla FC,Athletic Bilbao,Sevilla FC,RCD Espanyol Barcelona,Granada CF,Villarreal CF,Villarreal CF,CA Osasuna
7,Athletic Bilbao,Racing Santander,Athletic Bilbao,Real Betis Balompié,Real Sociedad,Real Betis Balompié,Athletic Bilbao,Real Valladolid CF,Málaga CF,Sevilla FC,Real Betis Balompié,Villarreal CF,Athletic Bilbao,Deportivo de La Coruña,Recreativo Huelva,UD Almería,Málaga CF,Athletic Bilbao,RCD Espanyol Barcelona,RCD Mallorca,Rayo Vallecano,Valencia CF,Celta de Vigo,Málaga CF,RCD Espanyol Barcelona,Getafe CF,Athletic Bilbao,Getafe CF,Celta de Vigo,Athletic Bilbao,Athletic Bilbao
8,Real Zaragoza,Real Oviedo,Real Oviedo,Deportivo de La Coruña,CD Tenerife,Valencia CF,Real Zaragoza,Rayo Vallecano,RCD Espanyol Barcelona,Athletic Bilbao,RCD Mallorca,Real Betis Balompié,Deportivo de La Coruña,Getafe CF,Getafe CF,Deportivo de La Coruña,RCD Mallorca,Atlético de Madrid,CA Osasuna,Sevilla FC,Sevilla FC,Celta de Vigo,Málaga CF,Real Sociedad,Deportivo Alavés,SD Eibar,Real Sociedad,Valencia CF,Granada CF,Valencia CF,RCD Mallorca
9,CA Osasuna,CD Tenerife,Valencia CF,SD Compostela,Valencia CF,RCD Espanyol Barcelona,Real Sociedad,RCD Mallorca,Deportivo Alavés,Málaga CF,Sevilla FC,Málaga CF,Málaga CF,Atlético de Madrid,Racing Santander,Valencia CF,RCD Espanyol Barcelona,Deportivo de La Coruña,Sporting Gijón,Athletic Bilbao,Getafe CF,Levante UD,RCD Espanyol Barcelona,Real Betis Balompié,SD Eibar,Girona FC,Real Betis Balompié,CA Osasuna,Athletic Bilbao,CA Osasuna,Girona FC
